; (Japanese, UTF-8)
;-------------------------------------------------------------------------------
; 『MZ-IME日本語入力・漢字部首表』片山博文MZ
; "MZ-IME Japanese Input, The Kanji Radical Table"
; Copyright (C) 2016 Katayama Hirofumi MZ.
; This file is public domain software (PDS).
;-------------------------------------------------------------------------------
; 補注：一点しんにょうのフォントがないため、画像で用意する。
;-------------------------------------------------------------------------------
;部首ID	部首1	画数1	部首2	画数2	部首3	画数3
001	一	1
002	丨	1
003	丶	1
004	丿	1
005	乙	1	乚	1
006	亅	1
007	二	2
008	亠	2
009	人	2	亻	2
010	儿	2
011	入	2
012	八	2
013	冂	2
014	冖	2
015	冫	2
016	几	2
017	凵	2
018	刀	2	刂	2
019	力	2
020	勹	2
021	匕	2
022	匚	2
023	匸	2
024	十	2
025	卜	2
026	卩	2
027	厂	2
028	厶	2
029	又	2
030	口	3
031	囗	3
032	土	3
033	士	3
034	夂	3
035	夊	3
036	夕	3
037	大	3
038	女	3
039	子	3
040	宀	3
041	寸	3
042	小	3
043	尢	3	尣	4
044	尸	3
045	屮	3
046	山	3
047	巛	3	川	3
048	工	3
049	己	3	已	3	巳	3
050	巾	3
051	干	3
052	幺	3
053	广	3
054	廴	3
055	廾	3
056	弋	3
057	弓	3
058	彐	3	彑	3	ヨ	3
059	彡	3
060	彳	3
061	心	4	忄	3
062	戈	4
063	戶	4	戸	4
064	手	4	扌	3
065	支	4
066	攴	4	攵	4
067	文	4
068	斗	4
069	斤	4
070	方	4
071	无	4	旡	5
072	日	4
073	曰	4
074	月	4
075	木	4
076	欠	4
077	止	4
078	歹	4	歺	5
079	殳	4
080	毋	4	母	5
081	比	4
082	毛	4
083	氏	4
084	气	4
085	水	4	氵	3
086	火	4	灬	4
087	爪	4	爫	4
088	父	4
089	爻	4
090	爿	4
091	片	4
092	牙	4
093	牛	4	牜	4
094	犬	4	犭	3
095	玄	5
096	玉	5	王	4
097	瓜	5
098	瓦	5
099	甘	5
100	生	5
101	用	5
102	田	5
103	疋	5
104	疒	5
105	癶	5
106	白	5
107	皮	5
108	皿	5
109	目	5	罒	5
110	矛	5
111	矢	5
112	石	5
113	示	5	礻	4
114	禸	5
115	禾	5
116	穴	5
117	立	5
118	竹	6
119	米	6
120	糸	6
121	缶	6
122	网	6
123	羊	6
124	羽	6	羽	6
125	老	6	耂	4
126	而	6
127	耒	6
128	耳	6
129	聿	6
130	肉	6	月	4
131	臣	6
132	自	6
133	至	6
134	臼	6
135	舌	6
136	舛	6
137	舟	6
138	艮	6
139	色	6
140	艸	6	艹	3
141	虍	6
142	虫	6
143	血	6
144	行	6
145	衣	6	衤	6
146	襾	6	西	6	覀	6
147	見	7
148	角	7
149	言	7	訁	7
150	谷	7
151	豆	7
152	豕	7
153	豸	7
154	貝	7
155	赤	7
156	走	7
157	足	7
158	身	7
159	車	7
160	辛	7
161	辰	7
162	辵	7	辽	3	辶	4
163	邑	7	阝	3
164	酉	7
165	釆	7
166	里	7
167	金	8	釒	8
168	長	8
169	門	8
170	阜	8	阝	3
171	隶	8
172	隹	8
173	雨	8
174	靑	8	青	8
175	非	8
176	面	9
177	革	9
178	韋	9
179	韭	9
180	音	9
181	頁	9
182	風	9
183	飛	9
184	食	9	飠	9
185	首	9
186	香	10
187	馬	10
188	骨	10
189	高	10
190	髟	10
191	鬥	10
192	鬯	10
193	鬲	10
194	鬼	10
195	魚	11
196	鳥	11
197	鹵	11
198	鹿	11
199	麥	11	麦	7
200	麻	11
201	黃	12	黄	12
202	黍	12
203	黑	12	黒	11
204	黹	12
205	黽	13
206	鼎	13
207	鼓	13
208	鼠	13
209	鼻	14
210	齊	14	斉	8
211	齒	15	歯	12
212	龍	16	竜	10
213	龜	16	亀	11
214	龠	17
