;#	通用字体	部首	総画数	読み
722	崎	046山	11	さき
723	作	009人	7	サク、サ、つく-る
724	削	018刀	9	サク、けず-る
725	昨	072日	9	サク
726	柵	075木	9	サク
727	索	120糸	10	サク
728	策	118竹	12	サク
729	酢	164酉	12	サク、す
730	搾	064手	13	サク、しぼ-る
731	錯	167金	16	サク
732	咲	030口	9	さ-く
733	冊	013冂	5	サツ、サク
734	札	075木	5	サツ、ふだ
735	刷	018刀	8	サツ、す-る
736	刹	018刀	8	サツ、セツ
737	拶	064手	9	サツ
738	殺	079殳	10	サツ、（サイ）、（セツ）、ころ-す
739	察	040宀	14	サツ
740	撮	064手	15	サツ、と-る
741	擦	064手	17	サツ、す-る、す-れる
742	雑	172隹	14	ザツ、ゾウ
743	皿	108皿	5	さら
744	三	001一	3	サン、み、み-つ、みっ-つ
745	山	046山	3	サン、やま
746	参	028厶	8	サン、まい-る
747	桟	075木	10	サン
748	蚕	142虫	10	サン、かいこ
749	惨	061心	11	サン、ザン、みじ-め
750	産	100生	11	サン、う-む、う-まれる、うぶ
751	傘	009人	12	サン、かさ
752	散	066攴	12	サン、ち-る、ち-らす、ち-らかす、ち-らかる
753	算	118竹	14	サン
754	酸	164酉	14	サン、す-い
755	賛	154貝	15	サン
756	残	078歹	10	ザン、のこ-る、のこ-す
757	斬	069斤	11	ザン、き-る
758	暫	072日	15	ザン
759	士	033士	3	シ
760	子	039子	3	シ、ス、こ
761	支	065支	4	シ、ささ-える
762	止	077止	4	シ、と-まる、と-める
763	氏	083氏	4	シ、うじ
764	仕	009人	5	シ、（ジ）、つか-える
765	史	030口	5	シ
766	司	030口	5	シ
767	四	031囗	5	シ、よ、よ-つ、よっ-つ、よん
768	市	050巾	5	シ、いち
769	矢	111矢	5	シ、や
770	旨	072日	6	シ、むね
771	死	078歹	6	シ、し-ぬ
772	糸	120糸	6	シ、いと
773	至	133至	6	シ、いた-る
774	伺	009人	7	シ、うかが-う
775	志	061心	7	シ、こころざ-す、こころざし
776	私	115禾	7	シ、わたくし、わたし
777	使	009人	8	シ、つか-う
778	刺	018刀	8	シ、さ-す、さ-さる
779	始	038女	8	シ、はじ-める、はじ-まる
780	姉	038女	8	シ、あね
781	枝	075木	8	シ、えだ
782	祉	113示	8	シ
783	肢	130肉	8	シ
784	姿	038女	9	シ、すがた
785	思	061心	9	シ、おも-う
786	指	064手	9	シ、ゆび、さ-す
787	施	070方	9	シ、セ、ほどこ-す
788	師	050巾	10	シ
789	恣	061心	10	シ
790	紙	120糸	10	シ、かみ
791	脂	130肉	10	シ、あぶら
792	視	147見	11	シ
793	紫	120糸	12	シ、むらさき
794	詞	149言	12	シ
795	歯	211齒	12	シ、は
796	嗣	030口	13	シ
797	試	149言	13	シ、こころ-みる、ため-す
798	詩	149言	13	シ
799	資	154貝	13	シ
800	飼	184食	13	シ、か-う
801	誌	149言	14	シ
802	雌	172隹	14	シ、め、めす
803	摯	064手	15	シ
804	賜	154貝	15	シ、たまわ-る
805	諮	149言	16	シ、はか-る
806	示	113示	5	ジ、シ、しめ-す
807	字	039子	6	ジ、あざ
808	寺	041寸	6	ジ、てら
809	次	076欠	6	ジ、シ、つ-ぐ、つぎ
810	耳	128耳	6	ジ、みみ
811	自	132自	6	ジ、シ、みずか-ら
812	似	009人	7	ジ、に-る
813	児	010儿	7	ジ、（ニ）
814	事	006亅	8	ジ、（ズ）、こと
815	侍	009人	8	ジ、さむらい
816	治	085水	8	ジ、チ、おさ-める、おさ-まる、なお-る、なお-す
817	持	064手	9	ジ、も-つ
818	時	072日	10	ジ、とき
819	滋	085水	12	ジ
820	慈	061心	13	ジ、いつく-しむ
821	辞	160辛	13	ジ、や-める
822	磁	112石	14	ジ
823	餌	184食	15	ジ、えさ、え
824	璽	096玉	19	ジ
825	鹿	198鹿	11	しか、（か）
826	式	056弋	6	シキ
827	識	149言	19	シキ
828	軸	159車	12	ジク
829	七	001一	2	シチ、なな、なな-つ、（なの）
830	叱	030口	5	シツ、しか-る
831	失	037大	5	シツ、うしな-う
832	室	040宀	9	シツ、むろ
833	疾	104?	10	シツ
834	執	032土	11	シツ、シュウ、と-る
835	湿	085水	12	シツ、しめ-る、しめ-す
836	嫉	038女	13	シツ
837	漆	085水	14	シツ、うるし
838	質	154貝	15	シツ、シチ、（チ）
839	実	040宀	8	ジツ、み、みの-る
840	芝	140艸	6	しば
841	写	040宀	5	シャ、うつ-す、うつ-る
842	社	113示	7	シャ、やしろ
843	車	159車	7	シャ、くるま
844	舎	135舌	8	シャ
845	者	125老	8	シャ、もの
846	射	041寸	10	シャ、い-る
847	捨	064手	11	シャ、す-てる
848	赦	155赤	11	シャ
849	斜	068斗	11	シャ、なな-め
850	煮	086火	12	シャ、に-る、に-える、に-やす
851	遮	162?	14	シャ、さえぎ-る
852	謝	149言	17	シャ、あやま-る
853	邪	163邑	8	ジャ
854	蛇	142虫	11	ジャ、ダ、へび
855	尺	044尸	4	シャク
856	借	009人	10	シャク、か-りる
857	酌	164酉	10	シャク、く-む
858	釈	165釆	11	シャク
859	爵	087爪	17	シャク
860	若	140艸	8	ジャク、（ニャク）、わか-い、も-しくは
861	弱	057弓	10	ジャク、よわ-い、よわ-る、よわ-まる、よわ-める
862	寂	040宀	11	ジャク、（セキ）、さび、さび-しい、さび-れる
863	手	064手	4	シュ、て、（た）
864	主	003丶	5	シュ、（ス）、ぬし、おも
865	守	040宀	6	シュ、（ス）、まも-る、も-り
866	朱	075木	6	シュ
867	取	029又	8	シュ、と-る
868	狩	094犬	9	シュ、か-る、か-り
869	首	185首	9	シュ、くび
870	殊	078歹	10	シュ、こと
871	珠	096玉	10	シュ
872	酒	164酉	10	シュ、さけ、（さか）
873	腫	130肉	13	シュ、は-れる、は-らす
874	種	115禾	14	シュ、たね
875	趣	156走	15	シュ、おもむき
876	寿	033士	7	ジュ、ことぶき
877	受	029又	8	ジュ、う-ける、う-かる
878	呪	030口	8	ジュ、のろ-う
879	授	064手	11	ジュ、さず-ける、さず-かる
880	需	173雨	14	ジュ
881	儒	009人	16	ジュ
882	樹	075木	16	ジュ
883	収	066攴	4	シュウ、おさ-める、おさ-まる
884	囚	031囗	5	シュウ
885	州	047巛	6	シュウ、す
886	舟	137舟	6	シュウ、ふね、（ふな）
887	秀	115禾	7	シュウ、ひい-でる
888	周	030口	8	シュウ、まわ-り
889	宗	040宀	8	シュウ、ソウ
890	拾	064手	9	シュウ、ジュウ、ひろ-う
891	秋	115禾	9	シュウ、あき
892	臭	132自	9	シュウ、くさ-い、にお-う
893	修	009人	10	シュウ、（シュ）、おさ-める、おさ-まる
894	袖	145衣	10	シュウ、そで
895	終	120糸	11	シュウ、お-わる、お-える
896	羞	123羊	11	シュウ
897	習	124羽	11	シュウ、なら-う
898	週	162?	11	シュウ
899	就	043尢	12	シュウ、（ジュ）、つ-く、つ-ける
900	衆	143血	12	シュウ、（シュ）
901	集	172隹	12	シュウ、あつ-まる、あつ-める、つど-う
902	愁	061心	13	シュウ、うれ-える、うれ-い
903	酬	164酉	13	シュウ
904	醜	164酉	17	シュウ、みにく-い
905	蹴	157足	19	シュウ、け-る
906	襲	145衣	22	シュウ、おそ-う
907	十	024十	2	ジュウ、ジッ、とお、と
908	汁	085水	5	ジュウ、しる
909	充	010儿	6	ジュウ、あ-てる
910	住	009人	7	ジュウ、す-む、す-まう
911	柔	075木	9	ジュウ、ニュウ、やわ-らか、やわ-らかい
912	重	166里	9	ジュウ、チョウ、え、おも-い、かさ-ねる、かさ-なる
913	従	060彳	10	ジュウ、（ショウ）、（ジュ）、したが-う、したが-える
914	渋	085水	11	ジュウ、しぶ、しぶ-い、しぶ-る
915	銃	167金	14	ジュウ
916	獣	094犬	16	ジュウ、けもの
917	縦	120糸	16	ジュウ、たて
918	叔	029又	8	シュク
919	祝	113示	9	シュク、（シュウ）、いわ-う
920	宿	040宀	11	シュク、やど、やど-る、やど-す
921	淑	085水	11	シュク
922	粛	129聿	11	シュク
923	縮	120糸	17	シュク、ちぢ-む、ちぢ-まる、ちぢ-める、ちぢ-れる、ちぢ-らす
924	塾	032土	14	ジュク
925	熟	086火	15	ジュク、う-れる
926	出	017凵	5	シュツ、（スイ）、で-る、だ-す
927	述	162?	8	ジュツ、の-べる
928	術	144行	11	ジュツ
929	俊	009人	9	シュン
930	春	072日	9	シュン、はる
931	瞬	109目	18	シュン、またた-く
932	旬	072日	6	ジュン、（シュン）
933	巡	047巛	6	ジュン、めぐ-る
934	盾	109目	9	ジュン、たて
935	准	015冫	10	ジュン
936	殉	078歹	10	ジュン
937	純	120糸	10	ジュン
938	循	060彳	12	ジュン
939	順	181頁	12	ジュン
940	準	085水	13	ジュン
941	潤	085水	15	ジュン、うるお-う、うるお-す、うる-む
942	遵	162?	15	ジュン
943	処	141虍	5	ショ
944	初	018刀	7	ショ、はじ-め、はじ-めて、はつ、うい、そ-める
945	所	063?	8	ショ、ところ
946	書	073曰	10	ショ、か-く
947	庶	053广	11	ショ
948	暑	072日	12	ショ、あつ-い
949	署	122网	13	ショ
950	緒	120糸	14	ショ、（チョ）、お
951	諸	149言	15	ショ
952	女	038女	3	ジョ、ニョ、（ニョウ）、おんな、め
953	如	038女	6	ジョ、ニョ
954	助	019力	7	ジョ、たす-ける、たす-かる、すけ
955	序	053广	7	ジョ
956	叙	066攴	9	ジョ
957	徐	060彳	10	ジョ
958	除	170阜	10	ジョ、（ジ）、のぞ-く
959	小	042小	3	ショウ、ちい-さい、こ、お
960	升	024十	4	ショウ、ます
961	少	042小	4	ショウ、すく-ない、すこ-し
962	召	030口	5	ショウ、め-す
963	匠	022匚	6	ショウ
964	床	053广	7	ショウ、とこ、ゆか
965	抄	064手	7	ショウ
966	肖	130肉	7	ショウ
967	尚	042小	8	ショウ
968	招	064手	8	ショウ、まね-く
969	承	064手	8	ショウ、うけたまわ-る
970	昇	072日	8	ショウ、のぼ-る
971	松	075木	8	ショウ、まつ
972	沼	085水	8	ショウ、ぬま
973	昭	072日	9	ショウ
974	宵	040宀	10	ショウ、よい
975	将	041寸	10	ショウ
976	消	085水	10	ショウ、き-える、け-す
977	症	104?	10	ショウ
978	祥	113示	10	ショウ
979	称	115禾	10	ショウ
980	笑	118竹	10	ショウ、わら-う、え-む
981	唱	030口	11	ショウ、とな-える
982	商	030口	11	ショウ、あきな-う
983	渉	085水	11	ショウ
984	章	117立	11	ショウ
985	紹	120糸	11	ショウ
986	訟	149言	11	ショウ
987	勝	019力	12	ショウ、か-つ、まさ-る
988	掌	064手	12	ショウ
989	晶	072日	12	ショウ
990	焼	086火	12	ショウ、や-く、や-ける
991	焦	086火	12	ショウ、こ-げる、こ-がす、こ-がれる、あせ-る
992	硝	112石	12	ショウ
993	粧	119米	12	ショウ
994	詔	149言	12	ショウ、みことのり
995	証	149言	12	ショウ
996	象	152豕	12	ショウ、ゾウ
997	傷	009人	13	ショウ、きず、いた-む、いた-める
998	奨	037大	13	ショウ
999	照	086火	13	ショウ、て-る、て-らす、て-れる
1000	詳	149言	13	ショウ、くわ-しい
1001	彰	059彡	14	ショウ
1002	障	170阜	14	ショウ、さわ-る
1003	憧	061心	15	ショウ、あこが-れる
1004	衝	144行	15	ショウ
1005	賞	154貝	15	ショウ
1006	償	009人	17	ショウ、つぐな-う
1007	礁	112石	17	ショウ
1008	鐘	167金	20	ショウ、かね
1009	上	001一	3	ジョウ、（ショウ）、うえ、（うわ）、かみ、あ-げる、あ-がる、のぼ-る、のぼ-せる、のぼ-す
1010	丈	001一	3	ジョウ、たけ
1011	冗	014冖	4	ジョウ
1012	条	075木	7	ジョウ
1013	状	094犬	7	ジョウ
1014	乗	004丿	9	ジョウ、の-る、の-せる
1015	城	032土	9	ジョウ、しろ
1016	浄	085水	9	ジョウ
1017	剰	018刀	11	ジョウ
1018	常	050巾	11	ジョウ、つね、とこ
1019	情	061心	11	ジョウ、（セイ）、なさ-け
1020	場	032土	12	ジョウ、ば
1021	畳	102田	12	ジョウ、たた-む、たたみ
1022	蒸	140艸	13	ジョウ、む-す、む-れる、む-らす
1023	縄	120糸	15	ジョウ、なわ
1024	壌	032土	16	ジョウ
1025	嬢	038女	16	ジョウ
1026	錠	167金	16	ジョウ
1027	譲	149言	20	ジョウ、ゆず-る
1028	醸	164酉	20	ジョウ、かも-す
1029	色	139色	6	ショク、シキ、いろ
1030	拭	064手	9	ショク、ふ-く、ぬぐ-う
1031	食	184食	9	ショク、（ジキ）、く-う、く-らう、た-べる
1032	植	075木	12	ショク、う-える、う-わる
1033	殖	078歹	12	ショク、ふ-える、ふ-やす
1034	飾	184食	13	ショク、かざ-る
1035	触	148角	13	ショク、ふ-れる、さわ-る
1036	嘱	030口	15	ショク
1037	織	120糸	18	ショク、シキ、お-る
1038	職	128耳	18	ショク
1039	辱	161辰	10	ジョク、はずかし-める
1040	尻	044尸	5	しり
1041	心	061心	4	シン、こころ
1042	申	102田	5	シン、もう-す
1043	伸	009人	7	シン、の-びる、の-ばす、の-べる
1044	臣	131臣	7	シン、ジン
1045	芯	140艸	7	シン
1046	身	158身	7	シン、み
1047	辛	160辛	7	シン、から-い
1048	侵	009人	9	シン、おか-す
1049	信	009人	9	シン
1050	津	085水	9	シン、つ
1051	神	113示	9	シン、ジン、かみ、（かん）、（こう）
1052	唇	030口	10	シン、くちびる
1053	娠	038女	10	シン
1054	振	064手	10	シン、ふ-る、ふ-るう、ふ-れる
1055	浸	085水	10	シン、ひた-す、ひた-る
1056	真	109目	10	シン、ま
1057	針	167金	10	シン、はり
1058	深	085水	11	シン、ふか-い、ふか-まる、ふか-める
1059	紳	120糸	11	シン
1060	進	162?	11	シン、すす-む、すす-める
1061	森	075木	12	シン、もり
1062	診	149言	12	シン、み-る
1063	寝	040宀	13	シン、ね-る、ね-かす
1064	慎	061心	13	シン、つつし-む
1065	新	069斤	13	シン、あたら-しい、あら-た、にい
1066	審	040宀	15	シン
1067	震	173雨	15	シン、ふる-う、ふる-える
1068	薪	140艸	16	シン、たきぎ
1069	親	147見	16	シン、おや、した-しい、した-しむ
1070	人	009人	2	ジン、ニン、ひと
1071	刃	018刀	3	ジン、は
1072	仁	009人	4	ジン、（ニ）
1073	尽	108皿	6	ジン、つ-くす、つ-きる、つ-かす
1074	迅	162?	6	ジン
1075	甚	099甘	9	ジン、はなは-だ、はなは-だしい
1076	陣	170阜	10	ジン
1077	尋	041寸	12	ジン、たず-ねる
1078	腎	130肉	13	ジン
1079	須	181頁	12	ス
1080	図	031囗	7	ズ、ト、はか-る
1081	水	085水	4	スイ、みず
1082	吹	030口	7	スイ、ふ-く
1083	垂	032土	8	スイ、た-れる、た-らす
1084	炊	086火	8	スイ、た-く
1085	帥	050巾	9	スイ
1086	粋	119米	10	スイ、いき
1087	衰	145衣	10	スイ、おとろ-える
1088	推	064手	11	スイ、お-す
1089	酔	164酉	11	スイ、よ-う
1090	遂	162?	12	スイ、と-げる
1091	睡	109目	13	スイ
1092	穂	115禾	15	スイ、ほ
1093	随	170阜	12	ズイ
1094	髄	188骨	19	ズイ
1095	枢	075木	8	スウ
1096	崇	046山	11	スウ
1097	数	066攴	13	スウ、（ス）、かず、かぞ-える
1098	据	064手	11	す-える、す-わる
1099	杉	075木	7	すぎ
1100	裾	145衣	13	すそ
1101	寸	041寸	3	スン
1102	瀬	085水	19	せ
1103	是	072日	9	ゼ
1104	井	007二	4	セイ、（ショウ）、い
1105	世	001一	5	セイ、セ、よ
1106	正	077止	5	セイ、ショウ、ただ-しい、ただ-す、まさ
1107	生	100生	5	セイ、ショウ、い-きる、い-かす、い-ける、う-まれる、う-む、お-う、は-える、は-やす、き、なま
1108	成	062戈	6	セイ、（ジョウ）、な-る、な-す
1109	西	146襾	6	セイ、サイ、にし
1110	声	128耳	7	セイ、（ショウ）、こえ、（こわ）
1111	制	018刀	8	セイ
1112	姓	038女	8	セイ、ショウ
1113	征	060彳	8	セイ
1114	性	061心	8	セイ、ショウ
1115	青	174靑	8	セイ、（ショウ）、あお、あお-い
1116	斉	210齊	8	セイ
1117	政	066攴	9	セイ、（ショウ）、まつりごと
1118	星	072日	9	セイ、（ショウ）、ほし
1119	牲	093牛	9	セイ
1120	省	109目	9	セイ、ショウ、かえり-みる、はぶ-く
1121	凄	015冫	10	セイ
1122	逝	162?	10	セイ、ゆ-く、い-く
1123	清	085水	11	セイ、（ショウ）、きよ-い、きよ-まる、きよ-める
1124	盛	108皿	11	セイ、（ジョウ）、も-る、さか-る、さか-ん
1125	婿	038女	12	セイ、むこ
1126	晴	072日	12	セイ、は-れる、は-らす
1127	勢	019力	13	セイ、いきお-い
1128	聖	128耳	13	セイ
1129	誠	149言	13	セイ、まこと
1130	精	119米	14	セイ、（ショウ）
1131	製	145衣	14	セイ
1132	誓	149言	14	セイ、ちか-う
1133	静	174靑	14	セイ、（ジョウ）、しず、しず-か、しず-まる、しず-める
1134	請	149言	15	セイ、（シン）、こ-う、う-ける
1135	整	066攴	16	セイ、ととの-える、ととの-う
1136	醒	164酉	16	セイ
1137	税	115禾	12	ゼイ
1138	夕	036夕	3	セキ、ゆう
1139	斥	069斤	5	セキ
1140	石	112石	5	セキ、（シャク）、（コク）、いし
1141	赤	155赤	7	セキ、（シャク）、あか、あか-い、あか-らむ、あか-らめる
1142	昔	072日	8	セキ、（シャク）、むかし
1143	析	075木	8	セキ
1144	席	050巾	10	セキ
1145	脊	130肉	10	セキ
1146	隻	172隹	10	セキ
1147	惜	061心	11	セキ、お-しい、お-しむ
1148	戚	062戈	11	セキ
1149	責	154貝	11	セキ、せ-める
1150	跡	157足	13	セキ、あと
1151	積	115禾	16	セキ、つ-む、つ-もる
1152	績	120糸	17	セキ
1153	籍	118竹	20	セキ
1154	切	018刀	4	セツ、（サイ）、き-る、き-れる
1155	折	064手	7	セツ、お-る、おり、お-れる
1156	拙	064手	8	セツ、つたな-い
1157	窃	116穴	9	セツ
1158	接	064手	11	セツ、つ-ぐ
1159	設	149言	11	セツ、もう-ける
1160	雪	173雨	11	セツ、ゆき
1161	摂	064手	13	セツ
1162	節	118竹	13	セツ、（セチ）、ふし
1163	説	149言	14	セツ、（ゼイ）、と-く
1164	舌	135舌	6	ゼツ、した
1165	絶	120糸	12	ゼツ、た-える、た-やす、た-つ
1166	千	024十	3	セン、ち
1167	川	047巛	3	セン、かわ
1168	仙	009人	5	セン
1169	占	025卜	5	セン、し-める、うらな-う
1170	先	010儿	6	セン、さき
1171	宣	040宀	9	セン
1172	専	041寸	9	セン、もっぱ-ら
1173	泉	085水	9	セン、いずみ
1174	浅	085水	9	セン、あさ-い
1175	洗	085水	9	セン、あら-う
1176	染	075木	9	セン、そ-める、そ-まる、し-みる、し-み
1177	扇	063?	10	セン、おうぎ
1178	栓	075木	10	セン
1179	旋	070方	11	セン
1180	船	137舟	11	セン、ふね、（ふな）
1181	戦	062戈	13	セン、いくさ、たたか-う
1182	煎	086火	13	セン、い-る
1183	羨	123羊	13	セン、うらや-む、うらや-ましい
1184	腺	130肉	13	セン
1185	詮	149言	13	セン
1186	践	157足	13	セン
1187	箋	118竹	14	セン
1188	銭	167金	14	セン、ぜに
1189	潜	085水	15	セン、ひそ-む、もぐ-る
1190	線	120糸	15	セン
1191	遷	162?	15	セン
1192	選	162?	15	セン、えら-ぶ
1193	薦	140艸	16	セン、すす-める
1194	繊	120糸	17	セン
1195	鮮	195魚	17	セン、あざ-やか
1196	全	011入	6	ゼン、まった-く、すべ-て
1197	前	018刀	9	ゼン、まえ
1198	善	030口	12	ゼン、よ-い
1199	然	086火	12	ゼン、ネン
1200	禅	113示	13	ゼン
1201	漸	085水	14	ゼン
1202	膳	130肉	16	ゼン
1203	繕	120糸	18	ゼン、つくろ-う
1204	狙	094犬	8	ソ、ねら-う
1205	阻	170阜	8	ソ、はば-む
1206	祖	113示	9	ソ
1207	租	115禾	10	ソ
1208	素	120糸	10	ソ、ス
1209	措	064手	11	ソ
1210	粗	119米	11	ソ、あら-い
1211	組	120糸	11	ソ、く-む、くみ
1212	疎	103疋	12	ソ、うと-い、うと-む
1213	訴	149言	12	ソ、うった-える
1214	塑	032土	13	ソ
1215	遡	162?	14	ソ、さかのぼ-る
1216	礎	112石	18	ソ、いしずえ
1217	双	172隹	4	ソウ、ふた
1218	壮	033士	6	ソウ
1219	早	072日	6	ソウ、（サッ）、はや-い、はや-まる、はや-める
1220	争	087爪	6	ソウ、あらそ-う
1221	走	156走	7	ソウ、はし-る
1222	奏	037大	9	ソウ、かな-でる
1223	相	109目	9	ソウ、ショウ、あい
1224	荘	140艸	9	ソウ
1225	草	140艸	9	ソウ、くさ
1226	送	162?	9	ソウ、おく-る
1227	倉	009人	10	ソウ、くら
1228	捜	064手	10	ソウ、さが-す
1229	挿	064手	10	ソウ、さ-す
1230	桑	075木	10	ソウ、くわ
1231	巣	047巛	11	ソウ、す
1232	掃	064手	11	ソウ、は-く
1233	曹	073曰	11	ソウ
1234	曽	073曰	11	ソウ、（ゾ）
1235	爽	089爻	11	ソウ、さわ-やか
1236	窓	116穴	11	ソウ、まど
1237	創	018刀	12	ソウ、つく-る
1238	喪	030口	12	ソウ、も
1239	痩	104?	12	ソウ、や-せる
1240	葬	140艸	12	ソウ、ほうむ-る
1241	装	145衣	12	ソウ、ショウ、よそお-う
1242	僧	009人	13	ソウ
1243	想	061心	13	ソウ、（ソ）
1244	層	044尸	14	ソウ
1245	総	120糸	14	ソウ
1246	遭	162?	14	ソウ、あ-う
1247	槽	075木	15	ソウ
1248	踪	157足	15	ソウ
1249	操	064手	16	ソウ、みさお、あやつ-る
1250	燥	086火	17	ソウ
1251	霜	173雨	17	ソウ、しも
1252	騒	187馬	18	ソウ、さわ-ぐ
1253	藻	140艸	19	ソウ、も
1254	造	162?	10	ゾウ、つく-る
1255	像	009人	14	ゾウ
1256	増	032土	14	ゾウ、ま-す、ふ-える、ふ-やす
1257	憎	061心	14	ゾウ、にく-む、にく-い、にく-らしい、にく-しみ
1258	蔵	140艸	15	ゾウ、くら
1259	贈	154貝	18	ゾウ、（ソウ）、おく-る
1260	臓	130肉	19	ゾウ
1261	即	026卩	7	ソク
1262	束	075木	7	ソク、たば
1263	足	157足	7	ソク、あし、た-りる、た-る、た-す
1264	促	009人	9	ソク、うなが-す
1265	則	018刀	9	ソク
1266	息	061心	10	ソク、いき
1267	捉	064手	10	ソク、とら-える
1268	速	162?	10	ソク、はや-い、はや-める、はや-まる、すみ-やか
1269	側	009人	11	ソク、がわ
1270	測	085水	12	ソク、はか-る
1271	俗	009人	9	ゾク
1272	族	070方	11	ゾク
1273	属	044尸	12	ゾク
1274	賊	154貝	13	ゾク
1275	続	120糸	13	ゾク、つづ-く、つづ-ける
1276	卒	024十	8	ソツ
1277	率	095玄	11	ソツ、リツ、ひき-いる
1278	存	039子	6	ソン、ゾン
1279	村	075木	7	ソン、むら
1280	孫	039子	10	ソン、まご
1281	尊	041寸	12	ソン、たっと-い、とうと-い、たっと-ぶ、とうと-ぶ
1282	損	064手	13	ソン、そこ-なう、そこ-ねる
1283	遜	162?	14	ソン
1284	他	009人	5	タ、ほか
1285	多	036夕	6	タ、おお-い
1286	汰	085水	7	タ
1287	打	064手	5	ダ、う-つ
1288	妥	038女	7	ダ
1289	唾	030口	11	ダ、つば
1290	堕	032土	12	ダ
1291	惰	061心	12	ダ
1292	駄	187馬	14	ダ
1293	太	037大	4	タイ、タ、ふと-い、ふと-る
1294	対	041寸	7	タイ、ツイ
1295	体	188骨	7	タイ、テイ、からだ
1296	耐	126而	9	タイ、た-える
1297	待	060彳	9	タイ、ま-つ
1298	怠	061心	9	タイ、おこた-る、なま-ける
1299	胎	130肉	9	タイ
1300	退	162?	9	タイ、しりぞ-く、しりぞ-ける
1301	帯	050巾	10	タイ、お-びる、おび
1302	泰	085水	10	タイ
1303	堆	032土	11	タイ
1304	袋	145衣	11	タイ、ふくろ
1305	逮	162?	11	タイ
1306	替	073曰	12	タイ、か-える、か-わる
1307	貸	154貝	12	タイ、か-す
1308	隊	170阜	12	タイ
1309	滞	085水	13	タイ、とどこお-る
1310	態	061心	14	タイ
1311	戴	062戈	17	タイ
1312	大	037大	3	ダイ、タイ、おお、おお-きい、おお-いに
1313	代	009人	5	ダイ、タイ、か-わる、か-える、よ、しろ
1314	台	133至	5	ダイ、タイ
1315	第	118竹	11	ダイ
1316	題	181頁	18	ダイ
1317	滝	085水	13	たき
1318	宅	040宀	6	タク
1319	択	064手	7	タク
1320	沢	085水	7	タク、さわ
1321	卓	024十	8	タク
1322	拓	064手	8	タク
1323	託	149言	10	タク
1324	濯	085水	17	タク
1325	諾	149言	15	ダク
1326	濁	085水	16	ダク、にご-る、にご-す
1327	但	009人	7	ただ-し
1328	達	162?	12	タツ
1329	脱	130肉	11	ダツ、ぬ-ぐ、ぬ-げる
1330	奪	037大	14	ダツ、うば-う
1331	棚	075木	12	たな
1332	誰	149言	15	だれ
1333	丹	003丶	4	タン
1334	旦	072日	5	タン、ダン
1335	担	064手	8	タン、かつ-ぐ、にな-う
1336	単	030口	9	タン
1337	炭	086火	9	タン、すみ
1338	胆	130肉	9	タン
1339	探	064手	11	タン、さぐ-る、さが-す
1340	淡	085水	11	タン、あわ-い
1341	短	111矢	12	タン、みじか-い
1342	嘆	030口	13	タン、なげ-く、なげ-かわしい
1343	端	117立	14	タン、はし、は、はた
1344	綻	120糸	14	タン、ほころ-びる
1345	誕	149言	15	タン
1346	鍛	167金	17	タン、きた-える
1347	団	031囗	6	ダン、（トン）
1348	男	102田	7	ダン、ナン、おとこ
1349	段	079殳	9	ダン
1350	断	069斤	11	ダン、た-つ、ことわ-る
1351	弾	057弓	12	ダン、ひ-く、はず-む、たま
1352	暖	072日	13	ダン、あたた-か、あたた-かい、あたた-まる、あたた-める
1353	談	149言	15	ダン
1354	壇	032土	16	ダン、（タン）
1355	地	032土	6	チ、ジ
1356	池	085水	6	チ、いけ
1357	知	111矢	8	チ、し-る
1358	値	009人	10	チ、ね、あたい
1359	恥	061心	10	チ、は-じる、はじ、は-じらう、は-ずかしい
1360	致	133至	10	チ、いた-す
1361	遅	162?	12	チ、おく-れる、おく-らす、おそ-い
1362	痴	104?	13	チ
1363	稚	115禾	13	チ
1364	置	122网	13	チ、お-く
1365	緻	120糸	16	チ
1366	竹	118竹	6	チク、たけ
1367	畜	102田	10	チク
1368	逐	162?	10	チク
1369	蓄	140艸	13	チク、たくわ-える
1370	築	118竹	16	チク、きず-く
1371	秩	115禾	10	チツ
1372	窒	116穴	11	チツ
1373	茶	140艸	9	チャ、サ
1374	着	123羊	12	チャク、（ジャク）、き-る、き-せる、つ-く、つ-ける
1375	嫡	038女	14	チャク
1376	中	002丨	4	チュウ、（ジュウ）、なか
1377	仲	009人	6	チュウ、なか
1378	虫	142虫	6	チュウ、むし
1379	沖	085水	7	チュウ、おき
1380	宙	040宀	8	チュウ
1381	忠	061心	8	チュウ
1382	抽	064手	8	チュウ
1383	注	085水	8	チュウ、そそ-ぐ
1384	昼	072日	9	チュウ、ひる
1385	柱	075木	9	チュウ、はしら
1386	衷	145衣	10	チュウ
1387	酎	164酉	10	チュウ
1388	鋳	167金	15	チュウ、い-る
1389	駐	187馬	15	チュウ
1390	著	140艸	11	チョ、あらわ-す、いちじる-しい
1391	貯	154貝	12	チョ
1392	丁	001一	2	チョウ、テイ
1393	弔	057弓	4	チョウ、とむら-う
1394	庁	053广	5	チョウ
1395	兆	010儿	6	チョウ、きざ-す、きざ-し
1396	町	102田	7	チョウ、まち
1397	長	168長	8	チョウ、なが-い
1398	挑	064手	9	チョウ、いど-む
1399	帳	050巾	11	チョウ
1400	張	057弓	11	チョウ、は-る
1401	彫	059彡	11	チョウ、ほ-る
1402	眺	109目	11	チョウ、なが-める
1403	釣	167金	11	チョウ、つ-る
