;#	通用字体	部首	総画数	読み
480	啓	030口	11	ケイ
481	掲	064手	11	ケイ、かか-げる
482	渓	085水	11	ケイ
483	経	120糸	11	ケイ、キョウ、へ-る
484	蛍	142虫	11	ケイ、ほたる
485	敬	066攴	12	ケイ、うやま-う
486	景	072日	12	ケイ
487	軽	159車	12	ケイ、かる-い、かろ-やか
488	傾	009人	13	ケイ、かたむ-く、かたむ-ける
489	携	064手	13	ケイ、たずさ-える、たずさ-わる
490	継	120糸	13	ケイ、つ-ぐ
491	詣	149言	13	ケイ、もう-でる
492	慶	061心	15	ケイ
493	憬	061心	15	ケイ
494	稽	115禾	15	ケイ
495	憩	061心	16	ケイ、いこ-い、いこ-う
496	警	149言	19	ケイ
497	鶏	196鳥	19	ケイ、にわとり
498	芸	140艸	7	ゲイ
499	迎	162?	7	ゲイ、むか-える
500	鯨	195魚	19	ゲイ、くじら
501	隙	170阜	13	ゲキ、すき
502	劇	018刀	15	ゲキ
503	撃	064手	15	ゲキ、う-つ
504	激	085水	16	ゲキ、はげ-しい
505	桁	075木	10	けた
506	欠	121缶	4	ケツ、か-ける、か-く
507	穴	116穴	5	ケツ、あな
508	血	143血	6	ケツ、ち
509	決	085水	7	ケツ、き-める、き-まる
510	結	120糸	12	ケツ、むす-ぶ、ゆ-う、ゆ-わえる
511	傑	009人	13	ケツ
512	潔	085水	15	ケツ、いさぎよ-い
513	月	074月	4	ゲツ、ガツ、つき
514	犬	094犬	4	ケン、いぬ
515	件	009人	6	ケン
516	見	147見	7	ケン、み-る、み-える、み-せる
517	券	018刀	8	ケン
518	肩	130肉	8	ケン、かた
519	建	054廴	9	ケン、（コン）、た-てる、た-つ
520	研	112石	9	ケン、と-ぐ
521	県	120糸	9	ケン
522	倹	009人	10	ケン
523	兼	012八	10	ケン、か-ねる
524	剣	018刀	10	ケン、つるぎ
525	拳	064手	10	ケン、こぶし
526	軒	159車	10	ケン、のき
527	健	009人	11	ケン、すこ-やか
528	険	170阜	11	ケン、けわ-しい
529	圏	031囗	12	ケン
530	堅	032土	12	ケン、かた-い
531	検	075木	12	ケン
532	嫌	038女	13	ケン、（ゲン）、きら-う、いや
533	献	094犬	13	ケン、（コン）
534	絹	120糸	13	ケン、きぬ
535	遣	162?	13	ケン、つか-う、つか-わす
536	権	075木	15	ケン、（ゴン）
537	憲	061心	16	ケン
538	賢	154貝	16	ケン、かしこ-い
539	謙	149言	17	ケン
540	鍵	167金	17	ケン、かぎ
541	繭	120糸	18	ケン、まゆ
542	顕	181頁	18	ケン
543	験	187馬	18	ケン、（ゲン）
544	懸	061心	20	ケン、（ケ）、か-ける、か-かる
545	元	010儿	4	ゲン、ガン、もと
546	幻	052幺	4	ゲン、まぼろし
547	玄	095玄	5	ゲン
548	言	149言	7	ゲン、ゴン、い-う、こと
549	弦	057弓	8	ゲン、つる
550	限	170阜	9	ゲン、かぎ-る
551	原	027厂	10	ゲン、はら
552	現	096玉	11	ゲン、あらわ-れる、あらわ-す
553	舷	137舟	11	ゲン
554	減	085水	12	ゲン、へ-る、へ-らす
555	源	085水	13	ゲン、みなもと
556	厳	030口	17	ゲン、（ゴン）、おごそ-か、きび-しい
557	己	049己	3	コ、キ、おのれ
558	戸	063?	4	コ、と
559	古	030口	5	コ、ふる-い、ふる-す
560	呼	030口	8	コ、よ-ぶ
561	固	031囗	8	コ、かた-める、かた-まる、かた-い
562	股	130肉	8	コ、また
563	虎	141虍	8	コ、とら
564	孤	039子	9	コ
565	弧	057弓	9	コ
566	故	066攴	9	コ、ゆえ
567	枯	075木	9	コ、か-れる、か-らす
568	個	009人	10	コ
569	庫	053广	10	コ、（ク）
570	湖	085水	12	コ、みずうみ
571	雇	172隹	12	コ、やと-う
572	誇	149言	13	コ、ほこ-る
573	鼓	207鼓	13	コ、つづみ
574	錮	167金	16	コ
575	顧	181頁	21	コ、かえり-みる
576	五	007二	4	ゴ、いつ、いつ-つ
577	互	007二	4	ゴ、たが-い
578	午	024十	4	ゴ
579	呉	030口	7	ゴ
580	後	060彳	9	ゴ、コウ、のち、うし-ろ、あと、おく-れる
581	娯	038女	10	ゴ
582	悟	061心	10	ゴ、さと-る
583	碁	112石	13	ゴ
584	語	149言	14	ゴ、かた-る、かた-らう
