; (Japanese, UTF-8)
;-------------------------------------------------------------------------------
; 『MZ-IME日本語入力／基本辞書』片山博文MZ
; "MZ-IME Japanese Input / The Basic Dictionary"
; Copyright (C) 2016-2022 Katayama Hirofumi MZ.
; This file is public domain software (PDS).
;-------------------------------------------------------------------------------
; データ行は次のいずれかの形式で記述します：
;
;    (形式1) <変換前>
;    (形式2) <変換前><TAB><品詞分類>
;    (形式3) <変換前><TAB><品詞分類><TAB><変換後>
;    (形式4) <変換前><TAB><品詞分類><TAB><変換後><TAB><タグ>
;
; <変換前>には、変換前のひらがなのみ、またはカタカナのみを記します。
; <変換前>にカタカナを指定できるのは、(形式1)のみです。
; <TAB>は、タブ文字を表します。<品詞分類>には次のいずれかを指定します。
;
;   名詞、い形容詞、な形容詞、連体詞、副詞、接続詞、感動詞、格助詞、接続助詞、
;   副助詞、終助詞、未然助動詞、連用助動詞、終止助動詞、連体助動詞、仮定助動詞、
;   命令助動詞、五段動詞、一段動詞、カ変動詞、サ変動詞、漢語、接頭辞、接尾辞、
;   カンマ、ピリオド、記号類。
;
; <品詞分類>が省略された場合は、<品詞分類>は名詞と見なされます。
;
; <変換後>には、変換後の文字列を指定します。
; <変換後>は省略可能で、省略した場合は、<変換後>は<変換前>と同じと見なされます。
;
; 動詞・い形容詞・な形容詞は、<変換前>と<変換後>に基本形で記述します。
; い形容詞の<変換後>は、「い」で終わらなければなりません。
; な形容詞の<変換後>は、「な」で終わらなければなりません。
;
; <タグ>は追加的な情報を表します。<タグ>は省略可能です。
; <タグ>には次の組み合わせを指定できます。
;
;   [非標準]、[動植物]、[不謹慎]、[数単位]、[数詞]、[駅名]、[人名]、[地名]、
;   [未然形に連結]、[終止形に連結]、[連用形に連結]。
;-------------------------------------------------------------------------------
あ	感動詞
あぁ	感動詞
あぁー	感動詞
ああ	感動詞
ああー	感動詞
あい	名詞	愛
あい	名詞	藍
あい	漢語	哀
あい	漢語	相
あいうち	名詞	相打ち
あいうち	名詞	相撃ち
あいうち	名詞	相討ち
あいえんか	名詞	愛煙者
あいかぎ	名詞	合い鍵
あいかぎ	名詞	合鍵
あいかわらず	副詞	相変わらず
あいがん	名詞	哀願
あいがん	名詞	愛玩
あいきどう	名詞	合気道
あいきょう	名詞	愛きょう
あいきょう	名詞	愛嬌	[非標準]
あいぎ	名詞	合着
あいくるしい	い形容詞	愛くるしい
あいけん	名詞	愛犬
あいこ
あいこう	名詞	愛好
あいこうか	名詞	愛好家
あいこうかい	名詞	愛好会
あいこうしゃ	名詞	愛好者
あいこく	名詞	愛国
あいこくしゃ	名詞	愛国者
あいこくしん	名詞	愛国心
あいことば	名詞	合い言葉
あいことば	名詞	合言葉
あいご	名詞	愛護
あいさつ	名詞	挨拶
あいしゅう	名詞	哀愁
あいしょう	名詞	愛唱
あいしょう	名詞	愛称
あいしょう	名詞	相性
あいじ	名詞	愛児
あいじょう	名詞	愛情
あいじん	名詞	愛人
あいす	五段動詞	愛す
あいする	サ変動詞	愛する
あいする	一段動詞	愛する
あいず	名詞	合図
あいせき	名詞	哀惜
あいそ	名詞	愛想
あいそわらい	名詞	愛想笑い
あいたいする	サ変動詞	相対する
あいだ	名詞	間
あいだがら	名詞	間柄
あいち	名詞	愛知	[地名]
あいちけん	名詞	愛知県	[地名]
あいちけん	名詞	愛知県
あいちゃく	名詞	愛着
あいちょう	名詞	哀調
あいつ	名詞	彼奴
あいついで	副詞	相次いで
あいつぐ	五段動詞	相次ぐ
あいづち	名詞	相づち
あいづち	名詞	相槌	[非標準]
あいて	名詞	相手
あいてこう	名詞	相手校
あいとう	名詞	哀悼
あいどく	名詞	愛読
あいどくしゃ	名詞	愛読者
あいどくしょ	名詞	愛読書
あいにく	副詞	生憎
あいのこ	名詞	合いの子
あいのて	名詞	合いの手
あいふく	名詞	合い服
あいぼう	名詞	相棒
あいま	名詞	合間
あいまい	名詞	曖昧
あいまいな	な形容詞	曖昧な
あいよう	名詞	愛用
あいようしゃ	名詞	愛用者
あいようひん	名詞	愛用品
あいらしい	い形容詞	愛らしい
あいるらんどご	名詞	アイルランド語
あいるらんどじん	名詞	アイルランド人
あう	五段動詞	会う
あう	五段動詞	合う
あう	五段動詞	逢う	[非標準]
あう	五段動詞	遭う
あえぐ	五段動詞	喘ぐ	[非標準]
あえぐ	五段動詞
あえて	副詞	敢えて
あえない	い形容詞
あえる	一段動詞	会える
あえる	一段動詞	合える
あえる	一段動詞	和える
あえる	一段動詞	敢える	[非標準]
あえる	一段動詞	韲える	[非標準]
あえん	名詞	亜鉛
あお	名詞	青
あおあお	副詞	碧々	[非標準]
あおあお	副詞	蒼々	[非標準]
あおあお	副詞	青々
あおあおな	な形容詞	青々な
あおい	い形容詞	青い
あおい	名詞	葵	[動植物]
あおいきといき	名詞	青息吐息
あおいろ	名詞	青色
あおいろといき	名詞	青色吐息
あおうなばら	名詞	青海原
あおくさい	い形容詞	青臭い
あおぐ	五段動詞	仰ぐ
あおぐ	五段動詞	扇ぐ
あおざめる	一段動詞	青ざめる
あおじそ	名詞	青じそ
あおじゃしん	名詞	青写真
あおじろい	い形容詞	青白い
あおすじ	名詞	青筋
あおぞら	名詞	青空
あおぞらちゅうしゃじょう	名詞	青空駐車場
あおた	名詞	青田
あおだい	名詞	青大
あおてんじょう	名詞	青天井
あおな	名詞	青菜
あおにさい	名詞	青二才
あおば	名詞	青葉
あおむく	五段動詞	仰向く
あおむけ	名詞	仰向け
あおもの	名詞	青物
あおもり	名詞	青森	[地名]
あおもりけん	名詞	青森県	[地名]
あおもりけん	名詞	青森県
あおやまがくいん	名詞	青山学院
あおり	名詞	煽り	[非標準]
あおり
あおる	五段動詞	煽る	[非標準]
あおる	五段動詞
あか	名詞	垢	[非標準]
あか	名詞	赤
あかあか	副詞	明々
あかあか	副詞	赤々
あかい	い形容詞	赤い
あかいろ	名詞	赤色
あかがね	名詞	銅
あかぎれ	名詞	皸	[非標準]
あかぎれ	名詞	皹	[非標準]
あかぎれ
あかぐみ	名詞	赤組
あかご	名詞	赤子
あかさび	名詞	赤さび
あかさび	名詞	赤錆	[非標準]
あかし	名詞	証
あかしお	名詞	赤潮
あかしんごう	名詞	赤信号
あかじ	名詞	赤字
あかじかいしょう	名詞	赤字解消
あかじけっさん	名詞	赤字決算
あかじろせん	名詞	赤字路線
あかす	五段動詞	明かす
あかす	五段動詞	飽かす
あかちゃける	一段動詞	赤茶ける
あかちょうちん	名詞	赤提灯
あかっぱじ	名詞	赤っ恥
あかつき	名詞	暁
あかつち	名詞	赤土
あかでんわ	名詞	赤電話
あかぬけ	名詞	あか抜け
あかぬけ	名詞	垢抜け	[非標準]
あかね	名詞	茜	[動植物]
あかねいろ	名詞	あかね色
あかねいろ	名詞	茜色	[非標準]
あかはじ	名詞	赤恥
あかふじ	名詞	赤富士
あかぼう	名詞	赤帽
あかみ	名詞	赤身
あかめる	一段動詞	赤める
あからがお	名詞	赤ら顔
あからさまな	な形容詞	あからさまな
あからむ	五段動詞	明らむ
あからむ	五段動詞	赤らむ
あからめる	一段動詞	赤らめる
あからめる	五段動詞	赤らめる
あかり	名詞	明かり
あかり	名詞	灯り
