; (Japanese, UTF-8)
;-------------------------------------------------------------------------------
; 『MZ-IME日本語入力・常用漢字表』片山博文MZ
; "MZ-IME Japanese Input, The Common Use Kanji Table"
; Copyright (C) 2016 Katayama Hirofumi MZ.
; This file is public domain software (PDS).
;-------------------------------------------------------------------------------
;漢字ID	漢字	部首ID	総画数	読み
1	亜	007	7	ア
2	哀	030	9	アイ、あわ-れ、あわ-れむ
3	挨	064	10	アイ
4	愛	061	13	アイ
5	曖	072	17	アイ
6	悪	061	11	アク、オ、わる-い
7	握	064	12	アク、にぎ-る
8	圧	032	5	アツ
9	扱	064	6	あつか-う
10	宛	040	8	あ-てる
11	嵐	046	12	あらし
12	安	040	6	アン、やす-い
13	案	075	10	アン
14	暗	072	13	アン、くら-い
15	以	009	5	イ
16	衣	145	6	イ、ころも
17	位	009	7	イ、くらい
18	囲	031	7	イ、かこ-む、かこ-う
19	医	164	7	イ
20	依	009	8	イ、エ
21	委	038	8	イ、ゆだ-ねる
22	威	038	9	イ
23	為	087	9	イ
24	畏	102	9	イ、おそ-れる
25	胃	130	9	イ
26	尉	041	11	イ
27	異	102	11	イ、こと
28	移	115	11	イ、うつ-る、うつ-す
29	萎	140	11	イ、な-える
30	偉	009	12	イ、えら-い
31	椅	075	12	イ
32	彙	058	13	イ
33	意	061	13	イ
34	違	162	13	イ、ちが-う、ちが-える
35	維	120	14	イ
36	慰	061	15	イ、なぐさ-める、なぐさ-む
37	遺	162	15	イ、ユイ
38	緯	120	16	イ
39	域	032	11	イキ
40	育	130	8	イク、そだ-つ、そだ-てる、はぐく-む
41	一	001	1	イチ、イツ、ひと、ひと-つ
42	壱	033	7	イチ
43	逸	162	11	イツ
44	茨	140	9	いばら[6]
45	芋	140	6	いも
46	引	057	4	イン、ひ-く、ひ-ける
47	印	026	6	イン、しるし
48	因	031	6	イン、よ-る
49	咽	030	9	イン
50	姻	038	9	イン
51	員	030	10	イン
52	院	170	10	イン
53	淫	085	11	イン、みだ-ら
54	陰	170	11	イン、かげ、かげ-る
55	飲	184	12	イン、の-む
56	隠	170	14	イン、かく-す、かく-れる
57	韻	180	19	イン
58	右	030	5	ウ、ユウ、みぎ
59	宇	040	6	ウ
60	羽	124	6	ウ、は、はね
61	雨	173	8	ウ、あめ、あま
62	唄	030	10	うた
63	鬱	192	29	ウツ
64	畝	102	10	うね
65	浦	085	10	うら
66	運	162	12	ウン、はこ-ぶ
67	雲	173	12	ウン、くも
68	永	085	5	エイ、なが-い
69	泳	085	8	エイ、およ-ぐ
70	英	140	8	エイ
71	映	072	9	エイ、うつ-る、うつ-す、は-える
72	栄	075	9	エイ、さか-える、は-え、は-える
73	営	086	12	エイ、いとな-む
74	詠	149	12	エイ、よ-む
75	影	059	15	エイ、かげ
76	鋭	167	15	エイ、するど-い
77	衛	144	16	エイ
78	易	072	8	エキ、イ、やさ-しい
79	疫	104	9	エキ、ヤク
80	益	108	10	エキ、ヤク
81	液	085	11	エキ
82	駅	187	14	エキ
83	悦	061	10	エツ
84	越	156	12	エツ、こ-す、こ-える
85	謁	149	15	エツ
86	閲	169	15	エツ
87	円	031	4	エン、まる-い
88	延	054	8	エン、の-びる、の-べる、の-ばす
89	沿	085	8	エン、そ-う
90	炎	086	8	エン、ほのお
91	怨	061	9	エン、オン
92	宴	040	10	エン
93	媛	038	12	エン
94	援	064	12	エン
95	園	031	13	エン、その
96	煙	086	13	エン、けむ-る、けむり、けむ-い
97	猿	094	13	エン、さる
98	遠	162	13	エン、オン、とお-い
99	鉛	167	13	エン、なまり
100	塩	197	13	エン、しお
101	演	085	14	エン
102	縁	120	15	エン、ふち
103	艶	139	19	エン、つや
104	汚	085	6	オ、けが-す、けが-れる、けが-らわしい、よご-す、よご-れる、きたな-い
105	王	096	4	オウ
106	凹	017	5	オウ
107	央	037	5	オウ
108	応	061	7	オウ、こた-える
109	往	060	8	オウ
110	押	064	8	オウ、お-す、お-さえる
111	旺	072	8	オウ
112	欧	076	8	オウ
113	殴	079	8	オウ、なぐ-る
114	桜	075	10	オウ、さくら
115	翁	124	10	オウ
116	奥	037	12	オウ、おく
117	横	075	15	オウ、よこ
118	岡	046	8	おか[6]
119	屋	044	9	オク、や
120	億	009	15	オク
121	憶	061	16	オク
122	臆	130	17	オク
123	虞	141	13	おそれ
124	乙	005	1	オツ
125	俺	009	10	おれ
126	卸	026	9	おろ-す、おろし
127	音	180	9	オン、イン、おと、ね
128	恩	061	10	オン
129	温	085	12	オン、あたた-か、あたた-かい、あたた-まる、あたた-める
130	穏	115	16	オン、おだ-やか
131	下	001	3	カ、ゲ、した、しも、もと、さ-げる、さ-がる、くだ-る、くだ-す、くだ-さる、お-ろす、お-りる
132	化	021	4	カ、ケ、ば-ける、ば-かす
133	火	086	4	カ、ひ、ほ
134	加	019	5	カ、くわ-える、くわ-わる
135	可	030	5	カ
136	仮	009	6	カ、ケ、かり
137	何	009	7	カ、なに、なん
138	花	140	7	カ、はな
139	佳	009	8	カ
140	価	009	8	カ、あたい
141	果	075	8	カ、は-たす、は-てる、は-て
142	河	085	8	カ、かわ
143	苛	140	8	カ
144	科	115	9	カ
145	架	075	9	カ、か-ける、か-かる
146	夏	035	10	カ、ゲ、なつ
147	家	040	10	カ、ケ、いえ、や
148	荷	140	10	カ、に
149	華	140	10	カ、ケ、はな
150	菓	140	11	カ
151	貨	154	11	カ
152	渦	085	12	カ、うず
153	過	162	12	カ、す-ぎる、す-ごす、あやま-つ、あやま-ち
154	嫁	038	13	カ、よめ、とつ-ぐ
155	暇	072	13	カ、ひま
156	禍	113	13	カ
157	靴	177	13	カ、くつ
158	寡	040	14	カ
159	歌	076	14	カ、うた、うた-う
160	箇	118	14	カ
161	稼	115	15	カ、かせ-ぐ
162	課	149	15	カ
163	蚊	142	10	か
164	牙	092	4	ガ、ゲ、きば
165	瓦	098	5	ガ、かわら
166	我	062	7	ガ、われ、わ
167	画	102	8	ガ、カク
168	芽	140	8	ガ、め
169	賀	154	12	ガ
170	雅	172	13	ガ
171	餓	184	15	ガ
172	介	009	4	カイ
173	回	031	6	カイ、エ、まわ-る、まわ-す
174	灰	086	6	カイ、はい
175	会	073	6	カイ、エ、あ-う
176	快	061	7	カイ、こころよ-い
177	戒	062	7	カイ、いまし-める
178	改	066	7	カイ、あらた-める、あらた-まる
179	怪	061	8	カイ、あや-しい、あや-しむ
180	拐	064	8	カイ
181	悔	061	9	カイ、く-いる、く-やむ、くや-しい
182	海	085	9	カイ、うみ
183	界	102	9	カイ
184	皆	106	9	カイ、みな
185	械	075	11	カイ
186	絵	120	12	カイ、エ
187	開	169	12	カイ、ひら-く、ひら-ける、あ-く、あ-ける
188	階	170	12	カイ
189	塊	032	13	カイ、かたまり
190	楷	075	13	カイ
191	解	148	13	カイ、ゲ、と-く、と-かす、と-ける
192	潰	085	15	カイ、つぶ-す、つぶ-れる
193	壊	032	16	カイ、こわ-す、こわ-れる
194	懐	061	16	カイ、ふところ、なつ-かしい、なつ-かしむ、なつ-く、なつ-ける
195	諧	149	16	カイ
196	貝	154	7	かい
197	外	036	5	ガイ、ゲ、そと、ほか、はず-す、はず-れる
198	劾	019	8	ガイ
199	害	040	10	ガイ
200	崖	046	11	ガイ、がけ
201	涯	085	11	ガイ
202	街	144	12	ガイ、カイ、まち
203	慨	061	13	ガイ
204	蓋	140	13	ガイ、ふた
205	該	149	13	ガイ
206	概	075	14	ガイ
207	骸	188	16	ガイ
208	垣	032	9	かき
209	柿	075	9	かき
210	各	030	6	カク、おのおの
211	角	148	7	カク、かど、つの
212	拡	064	8	カク
213	革	177	9	カク、かわ
214	格	075	10	カク、コウ
215	核	075	10	カク
216	殻	079	11	カク、から
217	郭	163	11	カク
218	覚	147	12	カク、おぼ-える、さ-ます、さ-める
219	較	159	13	カク
220	隔	170	13	カク、へだ-てる、へだ-たる
221	閣	169	14	カク
222	確	112	15	カク、たし-か、たし-かめる
223	獲	094	16	カク、え-る
224	嚇	030	17	カク
225	穫	115	18	カク
226	学	039	8	ガク、まな-ぶ
227	岳	046	8	ガク、たけ
228	楽	075	13	ガク、ラク、たの-しい、たの-しむ
229	額	181	18	ガク、ひたい
230	顎	181	18	ガク、あご
231	掛	064	11	か-ける、か-かる、かかり
232	潟	085	15	かた
233	括	064	9	カツ
234	活	085	9	カツ
235	喝	030	11	カツ
236	渇	085	11	カツ、かわ-く
237	割	018	12	カツ、わ-る、わり、わ-れる、さ-く
238	葛	140	12	カツ、くず
