; (Japanese, UTF-8)
;-------------------------------------------------------------------------------
; 『MZ-IME日本語入力・常用漢字表』片山博文MZ
; "MZ-IME Japanese Input, The Common Use Kanji Table"
; Copyright (C) 2016 Katayama Hirofumi MZ.
; This file is public domain software (PDS).
;-------------------------------------------------------------------------------
;漢字ID	漢字	部首ID	総画数	読み
239	滑	085	13	カツ、コツ、すべ-る、なめ-らか
240	褐	145	13	カツ
241	轄	159	17	カツ
242	且	001	5	か-つ
243	株	075	10	かぶ
244	釜	167	10	かま
245	鎌	167	18	かま
246	刈	018	4	か-る
247	干	051	3	カン、ほ-す、ひ-る
248	刊	018	5	カン
249	甘	099	5	カン、あま-い、あま-える、あま-やかす
250	汗	085	6	カン、あせ
251	缶	121	6	カン
252	完	040	7	カン
253	肝	130	7	カン、きも
254	官	040	8	カン
255	冠	014	9	カン、かんむり
256	巻	026	9	カン、ま-く、まき
257	看	109	9	カン
258	陥	170	10	カン、おちい-る、おとしい-れる
259	乾	005	11	カン、かわ-く、かわ-かす
260	勘	019	11	カン
261	患	061	11	カン、わずら-う
262	貫	154	11	カン、つらぬ-く
263	寒	040	12	カン、さむ-い
264	喚	030	12	カン
265	堪	032	12	カン、た-える
266	換	064	12	カン、か-える、か-わる
267	敢	066	12	カン
268	棺	075	12	カン
269	款	076	12	カン
270	間	169	12	カン、ケン、あいだ、ま
271	閑	169	12	カン
272	勧	019	13	カン、すす-める
273	寛	040	13	カン
274	幹	051	13	カン、みき
275	感	061	13	カン
276	漢	085	13	カン
277	慣	061	14	カン、な-れる、な-らす
278	管	118	14	カン、くだ
279	関	169	14	カン、せき、かか-わる
280	歓	076	15	カン
281	監	108	15	カン
282	緩	120	15	カン、ゆる-い、ゆる-やか、ゆる-む、ゆる-める
283	憾	061	16	カン
284	還	162	16	カン
285	館	184	16	カン、やかた
286	環	096	17	カン
287	簡	118	18	カン
288	観	147	18	カン
289	韓	178	18	カン
290	艦	137	21	カン
291	鑑	167	23	カン、かんが-みる
292	丸	003	3	ガン、まる、まる-い、まる-める
293	含	030	7	ガン、ふく-む、ふく-める
294	岸	046	8	ガン、きし
295	岩	046	8	ガン、いわ
296	玩	096	8	ガン
297	眼	109	11	ガン、ゲン、まなこ
298	頑	181	13	ガン
299	顔	181	18	ガン、かお
300	願	181	19	ガン、ねが-う
301	企	009	6	キ、くわだ-てる
302	伎	009	6	キ
303	危	026	6	キ、あぶ-ない、あや-うい、あや-ぶむ
304	机	075	6	キ、つくえ
305	気	084	6	キ、ケ
306	岐	046	7	キ
307	希	050	7	キ
308	忌	061	7	キ、い-む、い-まわしい
309	汽	085	7	キ
310	奇	037	8	キ
311	祈	113	8	キ、いの-る
312	季	039	8	キ
313	紀	120	9	キ
314	軌	159	9	キ
315	既	071	10	キ、すで-に
316	記	149	10	キ、しる-す
317	起	156	10	キ、お-きる、お-こる、お-こす
318	飢	184	10	キ、う-える
319	鬼	194	10	キ、おに
320	帰	077	10	キ、かえ-る、かえ-す
321	基	032	11	キ、もと、もとい
322	寄	040	11	キ、よ-る、よ-せる
323	規	147	11	キ
324	亀	213	11	キ、かめ
325	喜	030	12	キ、よろこ-ぶ
326	幾	052	12	キ、いく
327	揮	064	12	キ
328	期	074	12	キ、ゴ
329	棋	075	12	キ
330	貴	154	12	キ、たっと-い、とうと-い、たっと-ぶ、とうと-ぶ
331	棄	075	13	キ
332	毀	079	13	キ
333	旗	070	14	キ、はた
334	器	030	15	キ、うつわ
335	畿	102	15	キ
336	輝	159	15	キ、かがや-く
337	機	075	16	キ、はた
338	騎	187	18	キ
339	技	064	7	ギ、わざ
340	宜	040	8	ギ
341	偽	009	11	ギ、いつわ-る、にせ
342	欺	076	12	ギ、あざむ-く
343	義	123	13	ギ
344	疑	103	14	ギ、うたが-う
345	儀	009	15	ギ
346	戯	062	15	ギ、たわむ-れる
347	擬	064	17	ギ
348	犠	093	17	ギ
349	議	149	20	ギ
350	菊	140	11	キク
351	吉	030	6	キチ、キツ
352	喫	030	12	キツ
353	詰	149	13	キツ、つ-める、つ-まる、つ-む
354	却	026	7	キャク
355	客	040	9	キャク、カク
356	脚	130	11	キャク、キャ、あし
357	逆	162	9	ギャク、さか、さか-らう
358	虐	141	9	ギャク、しいた-げる
359	九	005	2	キュウ、ク、ここの、ここの-つ
360	久	004	3	キュウ、ク、ひさ-しい
361	及	029	3	キュウ、およ-ぶ、およ-び、およ-ぼす
362	弓	057	3	キュウ、ゆみ
363	丘	001	5	キュウ、おか
364	旧	134	5	キュウ
365	休	009	6	キュウ、やす-む、やす-まる、やす-める
366	吸	030	6	キュウ、す-う
367	朽	075	6	キュウ、く-ちる
368	臼	134	6	キュウ、うす
369	求	085	7	キュウ、もと-める
370	究	116	7	キュウ、きわ-める
371	泣	085	8	キュウ、な-く
372	急	061	9	キュウ、いそ-ぐ
373	級	120	9	キュウ
374	糾	120	9	キュウ
375	宮	040	10	キュウ、グウ、ク、みや
376	救	066	11	キュウ、すく-う
377	球	096	11	キュウ、たま
378	給	120	12	キュウ
379	嗅	030	13	キュウ、か-ぐ
380	窮	116	15	キュウ、きわ-める、きわ-まる
381	牛	093	4	ギュウ、うし
382	去	028	5	キョ、コ、さ-る
383	巨	048	5	キョ
384	居	044	8	キョ、い-る
385	拒	064	8	キョ、こば-む
386	拠	064	8	キョ、コ
387	挙	064	10	キョ、あ-げる、あ-がる
388	虚	141	11	キョ、コ
389	許	149	11	キョ、ゆる-す
390	距	157	12	キョ
391	魚	195	11	ギョ、うお、さかな
392	御	060	12	ギョ、ゴ、おん
393	漁	085	14	ギョ、リョウ
394	凶	017	4	キョウ
395	共	012	6	キョウ、とも
396	叫	030	6	キョウ、さけ-ぶ
397	狂	094	7	キョウ、くる-う、くる-おしい
398	京	008	8	キョウ、ケイ
399	享	008	8	キョウ
400	供	009	8	キョウ、ク、そな-える、とも
401	協	024	8	キョウ
402	況	085	8	キョウ
403	峡	046	9	キョウ
404	挟	064	9	キョウ、はさ-む、はさ-まる
405	狭	094	9	キョウ、せま-い、せば-める、せば-まる
406	恐	061	10	キョウ、おそ-れる、おそ-ろしい
407	恭	061	10	キョウ、うやうや-しい
408	胸	130	10	キョウ、むね、むな
409	脅	130	10	キョウ、おびや-かす、おど-す、おど-かす
410	強	057	11	キョウ、ゴウ、つよ-い、つよ-まる、つよ-める、し-いる
411	教	066	11	キョウ、おし-える、おそ-わる
412	郷	163	11	キョウ、ゴウ
413	境	032	14	キョウ、ケイ、さかい
414	橋	075	16	キョウ、はし
415	矯	111	17	キョウ、た-める
416	鏡	167	19	キョウ、かがみ
417	競	117	20	キョウ、ケイ、きそ-う、せ-る
418	響	180	20	キョウ、ひび-く
419	驚	187	22	キョウ、おどろ-く、おどろ-かす
420	仰	009	6	ギョウ、コウ、あお-ぐ、おお-せ
421	暁	072	12	ギョウ、あかつき
422	業	075	13	ギョウ、ゴウ、わざ
423	凝	015	16	ギョウ、こ-る、こ-らす
424	曲	073	6	キョク、ま-がる、ま-げる
425	局	044	7	キョク
426	極	075	12	キョク、ゴク、きわ-める、きわ-まる、きわ-み
427	玉	096	5	ギョク、たま
428	巾	050	3	キン
429	斤	069	4	キン
430	均	032	7	キン
431	近	162	7	キン、ちか-い
432	金	167	8	キン、コン、かね、かな
433	菌	140	11	キン
434	勤	019	12	キン、ゴン、つと-める、つと-まる
435	琴	096	12	キン、こと
436	筋	118	12	キン、すじ
437	僅	009	13	キン、わず-か
438	禁	113	13	キン
439	緊	120	15	キン
440	錦	167	16	キン、にしき
441	謹	149	17	キン、つつし-む
442	襟	145	18	キン、えり
443	吟	030	7	ギン
444	銀	167	14	ギン
445	区	023	4	ク
446	句	030	5	ク
447	苦	140	8	ク、くる-しい、くる-しむ、くる-しめる、にが-い、にが-る
448	駆	187	14	ク、か-ける、か-る
449	具	012	8	グ
450	惧	061	11	グ
451	愚	061	13	グ、おろ-か
452	空	116	8	クウ、そら、あ-く、あ-ける、から
453	偶	009	11	グウ
454	遇	162	12	グウ
455	隅	170	12	グウ、すみ
456	串	002	7	くし
457	屈	044	8	クツ
458	掘	064	11	クツ、ほ-る
459	窟	116	13	クツ
460	熊	086	14	くま
461	繰	120	19	く-る
462	君	030	7	クン、きみ
463	訓	149	10	クン
464	勲	019	15	クン
465	薫	140	16	クン、かお-る
466	軍	159	9	グン
467	郡	163	10	グン
468	群	123	13	グン、む-れる、む-れ、むら
469	兄	010	5	ケイ、キョウ、あに
470	刑	018	6	ケイ
471	形	059	7	ケイ、ギョウ、かた、かたち
472	系	120	7	ケイ
473	径	060	8	ケイ
474	茎	140	8	ケイ、くき
475	係	009	9	ケイ、かか-る、かかり
476	型	032	9	ケイ、かた
477	契	037	9	ケイ、ちぎ-る
478	計	149	9	ケイ、はか-る、はか-らう
479	恵	061	10	ケイ、エ、めぐ-む
480	啓	030	11	ケイ
481	掲	064	11	ケイ、かか-げる
482	渓	085	11	ケイ
483	経	120	11	ケイ、キョウ、へ-る
484	蛍	142	11	ケイ、ほたる
485	敬	066	12	ケイ、うやま-う
486	景	072	12	ケイ
487	軽	159	12	ケイ、かる-い、かろ-やか
488	傾	009	13	ケイ、かたむ-く、かたむ-ける
489	携	064	13	ケイ、たずさ-える、たずさ-わる
490	継	120	13	ケイ、つ-ぐ
491	詣	149	13	ケイ、もう-でる
492	慶	061	15	ケイ
493	憬	061	15	ケイ
494	稽	115	15	ケイ
495	憩	061	16	ケイ、いこ-い、いこ-う
496	警	149	19	ケイ
497	鶏	196	19	ケイ、にわとり
498	芸	140	7	ゲイ
499	迎	162	7	ゲイ、むか-える
500	鯨	195	19	ゲイ、くじら
501	隙	170	13	ゲキ、すき
502	劇	018	15	ゲキ
503	撃	064	15	ゲキ、う-つ
504	激	085	16	ゲキ、はげ-しい
505	桁	075	10	けた
506	欠	121	4	ケツ、か-ける、か-く
507	穴	116	5	ケツ、あな
508	血	143	6	ケツ、ち
509	決	085	7	ケツ、き-める、き-まる
510	結	120	12	ケツ、むす-ぶ、ゆ-う、ゆ-わえる
511	傑	009	13	ケツ
512	潔	085	15	ケツ、いさぎよ-い
513	月	074	4	ゲツ、ガツ、つき
514	犬	094	4	ケン、いぬ
515	件	009	6	ケン
516	見	147	7	ケン、み-る、み-える、み-せる
517	券	018	8	ケン
518	肩	130	8	ケン、かた
519	建	054	9	ケン、コン、た-てる、た-つ
520	研	112	9	ケン、と-ぐ
521	県	120	9	ケン
522	倹	009	10	ケン
523	兼	012	10	ケン、か-ねる
524	剣	018	10	ケン、つるぎ
525	拳	064	10	ケン、こぶし
526	軒	159	10	ケン、のき
527	健	009	11	ケン、すこ-やか
528	険	170	11	ケン、けわ-しい
529	圏	031	12	ケン
530	堅	032	12	ケン、かた-い
531	検	075	12	ケン
532	嫌	038	13	ケン、ゲン、きら-う、いや
533	献	094	13	ケン、コン
534	絹	120	13	ケン、きぬ
535	遣	162	13	ケン、つか-う、つか-わす
536	権	075	15	ケン、ゴン
537	憲	061	16	ケン
538	賢	154	16	ケン、かしこ-い
539	謙	149	17	ケン
540	鍵	167	17	ケン、かぎ
541	繭	120	18	ケン、まゆ
542	顕	181	18	ケン
543	験	187	18	ケン、ゲン
544	懸	061	20	ケン、ケ、か-ける、か-かる
545	元	010	4	ゲン、ガン、もと
546	幻	052	4	ゲン、まぼろし
547	玄	095	5	ゲン
548	言	149	7	ゲン、ゴン、い-う、こと
549	弦	057	8	ゲン、つる
550	限	170	9	ゲン、かぎ-る
551	原	027	10	ゲン、はら
552	現	096	11	ゲン、あらわ-れる、あらわ-す
553	舷	137	11	ゲン
554	減	085	12	ゲン、へ-る、へ-らす
555	源	085	13	ゲン、みなもと
556	厳	030	17	ゲン、ゴン、おごそ-か、きび-しい
557	己	049	3	コ、キ、おのれ
558	戸	063	4	コ、と
559	古	030	5	コ、ふる-い、ふる-す
560	呼	030	8	コ、よ-ぶ
561	固	031	8	コ、かた-める、かた-まる、かた-い
562	股	130	8	コ、また
563	虎	141	8	コ、とら
564	孤	039	9	コ
565	弧	057	9	コ
566	故	066	9	コ、ゆえ
567	枯	075	9	コ、か-れる、か-らす
568	個	009	10	コ
569	庫	053	10	コ、ク
570	湖	085	12	コ、みずうみ
571	雇	172	12	コ、やと-う
572	誇	149	13	コ、ほこ-る
573	鼓	207	13	コ、つづみ
574	錮	167	16	コ
575	顧	181	21	コ、かえり-みる
576	五	007	4	ゴ、いつ、いつ-つ
577	互	007	4	ゴ、たが-い
578	午	024	4	ゴ
579	呉	030	7	ゴ
580	後	060	9	ゴ、コウ、のち、うし-ろ、あと、おく-れる
581	娯	038	10	ゴ
582	悟	061	10	ゴ、さと-る
583	碁	112	13	ゴ
584	語	149	14	ゴ、かた-る、かた-らう
585	誤	149	14	ゴ、あやま-る
586	護	149	20	ゴ
587	口	030	3	コウ、ク、くち
588	工	048	3	コウ、ク
589	公	012	4	コウ、おおやけ
590	勾	020	4	コウ
591	孔	039	4	コウ
592	功	019	5	コウ、ク
593	巧	048	5	コウ、たく-み
594	広	053	5	コウ、ひろ-い、ひろ-まる、ひろ-める、ひろ-がる、ひろ-げる
595	甲	102	5	コウ、カン
596	交	008	6	コウ、まじ-わる、まじ-える、ま-じる、ま-ざる、ま-ぜる、か-う、か-わす
597	光	010	6	コウ、ひか-る、ひかり
598	向	030	6	コウ、む-く、む-ける、む-かう、む-こう
599	后	030	6	コウ
600	好	038	6	コウ、この-む、す-く
601	江	085	6	コウ、え
602	考	125	6	コウ、かんが-える
603	行	144	6	コウ、ギョウ、アン、い-く、ゆ-く、おこな-う
604	坑	032	7	コウ
605	孝	039	7	コウ
606	抗	064	7	コウ
607	攻	066	7	コウ、せ-める
608	更	073	7	コウ、さら、ふ-ける、ふ-かす
609	効	019	8	コウ、き-く
610	幸	051	8	コウ、さいわ-い、さち、しあわ-せ
611	拘	064	8	コウ
612	肯	130	8	コウ
613	侯	009	9	コウ
614	厚	027	9	コウ、あつ-い
615	恒	061	9	コウ
616	洪	085	9	コウ
617	皇	106	9	コウ、オウ
618	紅	120	9	コウ、ク、べに、くれない
619	荒	140	9	コウ、あら-い、あ-れる、あ-らす
620	郊	163	9	コウ
621	香	186	9	コウ、キョウ、か、かお-り、かお-る
622	候	009	10	コウ、そうろう
623	校	075	10	コウ
624	耕	127	10	コウ、たがや-す
625	航	137	10	コウ
626	貢	154	10	コウ、ク、みつ-ぐ
627	降	170	10	コウ、お-りる、お-ろす、ふ-る
628	高	189	10	コウ、たか-い、たか、たか-まる、たか-める
629	康	053	11	コウ
630	控	064	11	コウ、ひか-える
631	梗	075	11	コウ
632	黄	201	11	コウ、オウ、き、こ
633	喉	030	12	コウ、のど
634	慌	061	12	コウ、あわ-てる、あわ-ただしい
635	港	085	12	コウ、みなと
636	硬	112	12	コウ、かた-い
637	絞	120	12	コウ、しぼ-る、し-める、し-まる
638	項	181	12	コウ
639	溝	085	13	コウ、みぞ
640	鉱	167	13	コウ
641	構	075	14	コウ、かま-える、かま-う
642	綱	120	14	コウ、つな
643	酵	164	14	コウ
644	稿	115	15	コウ
645	興	134	16	コウ、キョウ、おこ-る、おこ-す
646	衡	144	16	コウ
647	鋼	167	16	コウ、はがね
648	講	149	17	コウ
649	購	154	17	コウ
650	乞	005	3	こ-う
651	号	141	5	ゴウ
652	合	030	6	ゴウ、ガッ、カッ、あ-う、あ-わす、あ-わせる
653	拷	064	9	ゴウ
654	剛	018	10	ゴウ
655	傲	009	13	ゴウ
656	豪	152	14	ゴウ
657	克	010	7	コク
658	告	030	7	コク、つ-げる
659	谷	150	7	コク、たに
660	刻	018	8	コク、きざ-む
661	国	031	8	コク、くに
662	黒	203	11	コク、くろ、くろ-い
663	穀	115	14	コク
664	酷	164	14	コク
665	獄	094	14	ゴク
666	骨	188	10	コツ、ほね
667	駒	187	15	こま
668	込	162	5	こ-む、こ-める
669	頃	181	11	ころ
670	今	009	4	コン、キン、いま
671	困	031	7	コン、こま-る
672	昆	072	8	コン
673	恨	061	9	コン、うら-む、うら-めしい
674	根	075	10	コン、ね
675	婚	038	11	コン
676	混	085	11	コン、ま-じる、ま-ざる、ま-ぜる、こ-む
677	痕	104	11	コン、あと
678	紺	120	11	コン
679	魂	194	14	コン、たましい
680	墾	032	16	コン
681	懇	061	17	コン、ねんご-ろ
682	左	048	5	サ、ひだり
683	佐	009	7	サ
684	沙	085	7	サ
685	査	075	9	サ
686	砂	112	9	サ、シャ、すな
687	唆	030	10	サ、そそのか-す
688	差	048	10	サ、さ-す
689	詐	149	12	サ
690	鎖	167	18	サ、くさり
691	座	053	10	ザ、すわ-る
692	挫	064	10	ザ
693	才	064	3	サイ
694	再	013	6	サイ、サ、ふたた-び
695	災	086	7	サイ、わざわ-い
696	妻	038	8	サイ、つま
697	采	165	8	サイ
698	砕	112	9	サイ、くだ-く、くだ-ける
699	宰	040	10	サイ
700	栽	075	10	サイ
701	彩	059	11	サイ、いろど-る
702	採	064	11	サイ、と-る
703	済	085	11	サイ、す-む、す-ます
704	祭	113	11	サイ、まつ-る、まつ-り
705	斎	210	11	サイ
706	細	120	11	サイ、ほそ-い、ほそ-る、こま-か、こま-かい
707	菜	140	11	サイ、な
708	最	073	12	サイ、もっと-も
709	裁	145	12	サイ、た-つ、さば-く
710	債	009	13	サイ
711	催	009	13	サイ、もよお-す
712	塞	032	13	サイ、ソク、ふさ-ぐ、ふさ-がる
713	歳	077	13	サイ、セイ
714	載	159	13	サイ、の-せる、の-る
715	際	170	14	サイ、きわ
716	埼	032	11	さい[6]
717	在	032	6	ザイ、あ-る
718	材	075	7	ザイ
719	剤	018	10	ザイ
720	財	154	10	ザイ、サイ
721	罪	122	13	ザイ、つみ
722	崎	046	11	さき
723	作	009	7	サク、サ、つく-る
724	削	018	9	サク、けず-る
725	昨	072	9	サク
726	柵	075	9	サク
727	索	120	10	サク
728	策	118	12	サク
729	酢	164	12	サク、す
730	搾	064	13	サク、しぼ-る
731	錯	167	16	サク
732	咲	030	9	さ-く
733	冊	013	5	サツ、サク
734	札	075	5	サツ、ふだ
735	刷	018	8	サツ、す-る
736	刹	018	8	サツ、セツ
737	拶	064	9	サツ
738	殺	079	10	サツ、サイ、セツ、ころ-す
739	察	040	14	サツ
740	撮	064	15	サツ、と-る
741	擦	064	17	サツ、す-る、す-れる
742	雑	172	14	ザツ、ゾウ
743	皿	108	5	さら
744	三	001	3	サン、み、み-つ、みっ-つ
745	山	046	3	サン、やま
746	参	028	8	サン、まい-る
747	桟	075	10	サン
748	蚕	142	10	サン、かいこ
749	惨	061	11	サン、ザン、みじ-め
750	産	100	11	サン、う-む、う-まれる、うぶ
751	傘	009	12	サン、かさ
752	散	066	12	サン、ち-る、ち-らす、ち-らかす、ち-らかる
753	算	118	14	サン
754	酸	164	14	サン、す-い
755	賛	154	15	サン
756	残	078	10	ザン、のこ-る、のこ-す
757	斬	069	11	ザン、き-る
758	暫	072	15	ザン
759	士	033	3	シ
760	子	039	3	シ、ス、こ
761	支	065	4	シ、ささ-える
762	止	077	4	シ、と-まる、と-める
763	氏	083	4	シ、うじ
764	仕	009	5	シ、ジ、つか-える
765	史	030	5	シ
766	司	030	5	シ
767	四	031	5	シ、よ、よ-つ、よっ-つ、よん
768	市	050	5	シ、いち
769	矢	111	5	シ、や
770	旨	072	6	シ、むね
771	死	078	6	シ、し-ぬ
